Model,Accuracy
Logistic Regression,0.8852459016393442
Decision Tree,0.8360655737704918
KNN,0.6885245901639344
Naive Bayes,0.8688524590163934
Random Forest,0.8688524590163934
XGBoost,0.819672131147541
